episode,steps,score,coins,kills,invalid_moves,killed,suicide,episode_reward,decision_time_mean,decision_time_max,path_efficiency
38,9,1,1,0,0,True,True,-80.3,0.00020330150922139487,0.0002206987701356411,0.1111111111111111
39,8,1,1,0,0,True,True,-80.2,0.0002149702631868422,0.00026047928258776665,0.125
40,6,0,0,0,0,True,True,-90.5,0.0002171410402903954,0.0002597291022539139
41,6,2,2,0,0,True,True,-70.2,0.00019845739006996155,0.0002283588983118534,0.5
42,7,2,2,0,0,True,True,-70.19999999999999,0.0002674693241715431,0.000586547888815403,0.42857142857142855
43,13,2,2,0,0,True,True,-70.30000000000001,0.00024110917001962662,0.0005920780822634697,0.15384615384615385
44,8,1,1,0,0,True,True,-80.4,0.0002030766336247325,0.00023253913968801498,0.0
45,9,1,1,0,0,True,True,-80.7,0.00020719614500800768,0.0002334299497306347,0.1111111111111111
46,7,1,1,0,0,True,True,-80.3,0.00019068497100046704,0.00022462895140051842,0.14285714285714285
47,20,0,0,0,0,True,True,-91.1,0.00021838885731995106,0.00028322916477918625
48,27,3,3,0,0,True,True,-60.900000000000006,0.00022602646991058632,0.0002932087518274784,0.07407407407407407
49,5,1,1,0,0,True,True,-80.1,0.00019973702728748322,0.00023762881755828857,0.4
50,5,0,0,0,0,True,True,-90.39999999999999,0.00019511710852384567,0.00024382909759879112
51,6,1,1,0,0,True,True,-80.39999999999999,0.00020293565467000008,0.00023758923634886742,0.16666666666666666
52,13,1,1,0,0,True,True,-80.6,0.00022874310469398132,0.0003140089102089405,0.07692307692307693
53,9,0,0,0,0,True,True,-90.3,0.0002163025654024548,0.0002544890157878399
54,16,3,3,0,0,True,True,-60.6,0.00024501088773831725,0.0005528279580175877,0.375
55,5,0,0,0,0,True,True,-90.3,0.00020166710019111633,0.00023837899789214134
56,6,1,1,0,0,True,True,-80.4,0.00020185252651572227,0.00023762881755828857,0.0
57,20,2,2,0,0,True,True,-70.5,0.00024907318875193595,0.0003467691130936146,0.1
58,7,0,0,0,0,True,True,-90.3,0.00018631799944809506,0.00022420892491936684
59,5,1,1,0,0,True,True,-80.3,0.00020108111202716828,0.0002452288754284382,0.0
60,18,1,1,0,0,True,True,-80.6,0.000234840696470605,0.0005357782356441021,0.16666666666666666
61,6,1,1,0,0,True,True,-80.19999999999999,0.00019923457875847816,0.00022987881675362587,0.16666666666666666
62,24,1,1,0,0,True,True,-80.7,0.0002508536757280429,0.0006042472086846828,0.125
63,8,0,0,0,0,True,True,-90.2,0.00026404421078041196,0.0006281081587076187
64,8,2,2,0,0,True,True,-70.39999999999999,0.00019950431305915117,0.000225788913667202,0.375
65,5,2,2,0,0,True,True,-70.3,0.0002666587941348553,0.0005611577071249485,0.2
66,7,1,1,0,0,True,True,-80.2,0.00019391060673764775,0.00023212889209389687,0.14285714285714285
67,5,1,1,0,0,True,True,-80.3,0.00019524730741977693,0.00023558875545859337,0.2
68,15,2,2,0,0,True,True,-70.5,0.00020950067167480786,0.0005093589425086975,0.2
69,7,1,1,0,0,True,True,-80.3,0.0001880821239735399,0.00023160921409726143,0.14285714285714285
70,7,0,0,0,0,True,True,-90.19999999999999,0.0002214518774832998,0.00026790937408804893
71,9,3,3,0,0,True,True,-60.4,0.0002635566828151544,0.0006694276817142963,0.3333333333333333
72,11,3,3,0,0,True,True,-60.300000000000004,0.00021617106077345935,0.0002579796127974987,0.09090909090909091
73,7,1,1,0,0,True,True,-80.19999999999999,0.00021617074630090168,0.0002648192457854748,0.14285714285714285
74,5,1,1,0,0,True,True,-80.39999999999999,0.00018959566950798034,0.0002301689237356186,0.2
75,7,1,1,0,0,True,True,-80.39999999999999,0.0001944091304072312,0.0002313191071152687,0.14285714285714285
76,8,1,1,0,0,True,True,-80.39999999999999,0.0002666039508767426,0.0006034779362380505,0.125
77,9,3,3,0,0,True,True,-60.3,0.0002081402473979526,0.00027707871049642563,0.4444444444444444
78,5,1,1,0,0,True,True,-80.2,0.0002011554315686226,0.00023668911308050156,0.0
79,5,0,0,0,0,True,True,-90.19999999999999,0.0001960495486855507,0.00021786009892821312
80,11,2,2,0,0,True,True,-70.5,0.00021982921118086034,0.00026425905525684357,0.09090909090909091
81,7,0,0,0,0,True,True,-90.3,0.0002499350479670933,0.0005149077624082565
82,8,1,1,0,0,True,True,-80.3,0.00020190299255773425,0.00023355893790721893,0.25
83,5,1,1,0,0,True,True,-80.2,0.0002006731927394867,0.00024363864213228226,0.0
84,6,2,2,0,0,True,True,-70.4,0.00019268078419069448,0.00023172888904809952,0.16666666666666666
85,14,1,1,0,0,True,True,-80.4,0.0002200977344598089,0.00027715880423784256,0.0
